neighbourhood_group,room_type,minimum_nights,amenity_score,number_of_reviews,availability_365,price_class
Queens,Entire home/apt,3.0,59.6,0.0,0.0,2
Brooklyn,Entire home/apt,14.0,45.1,2.0,177.0,1
Bronx,Private room,10.0,91.3,0.0,358.0,3
Manhattan,Entire home/apt,30.0,81.3,0.0,364.0,2
Manhattan,Entire home/apt,1.0,61.8,85.0,304.0,1
Queens,Private room,4.0,29.3,19.0,1.0,0
Brooklyn,Private room,3.0,30.0,10.0,123.0,1
Queens,Entire home/apt,,53.2,37.0,336.0,1
Brooklyn,Entire home/apt,2.0,77.3,0.0,32.0,3
Brooklyn,Entire home/apt,2.0,64.9,0.0,112.0,1
Brooklyn,Entire home/apt,2.0,44.8,1.0,0.0,1
Manhattan,Entire home/apt,1.0,62.6,242.0,238.0,2
Manhattan,Private room,1.0,29.7,0.0,358.0,1
Manhattan,Entire home/apt,2.0,89.4,0.0,199.0,3
Brooklyn,Entire home/apt,2.0,36.8,70.0,5.0,1
Brooklyn,Entire home/apt,28.0,71.8,0.0,339.0,2
Brooklyn,Entire home/apt,2.0,59.7,80.0,68.0,1
Queens,Private room,2.0,52.0,2.0,319.0,1
Brooklyn,Private room,8.0,40.7,6.0,0.0,1
Bronx,Entire home/apt,5.0,31.2,1.0,11.0,1
Brooklyn,Entire home/apt,2.0,61.4,14.0,9.0,1
Manhattan,Private room,30.0,48.5,1.0,133.0,1
Manhattan,Private room,1.0,43.2,32.0,184.0,1
Manhattan,Private room,1.0,48.8,222.0,251.0,1
Manhattan,Entire home/apt,30.0,76.4,0.0,351.0,2
Brooklyn,Private room,1.0,23.1,1.0,0.0,0
Brooklyn,Entire home/apt,1.0,54.8,0.0,66.0,1
Brooklyn,Private room,5.0,28.7,8.0,365.0,1
Brooklyn,Entire home/apt,3.0,47.5,173.0,277.0,1
Brooklyn,Entire home/apt,1.0,75.6,0.0,227.0,3
Brooklyn,Entire home/apt,4.0,45.2,33.0,23.0,1
Brooklyn,Entire home/apt,2.0,36.5,14.0,50.0,1
Queens,Private room,1.0,66.7,8.0,365.0,2
Brooklyn,Private room,2.0,52.5,1.0,0.0,1
Brooklyn,Private room,5.0,70.7,0.0,154.0,2
Manhattan,Entire home/apt,5.0,83.2,0.0,0.0,3
Manhattan,Entire home/apt,2.0,82.4,7.0,365.0,2
Manhattan,Entire home/apt,2.0,79.6,1.0,302.0,3
Manhattan,Entire home/apt,7.0,46.8,0.0,24.0,1
Brooklyn,Entire home/apt,2.0,61.7,11.0,246.0,2
Manhattan,Entire home/apt,31.0,58.7,0.0,316.0,2
Brooklyn,Private room,30.0,33.2,0.0,347.0,0
Manhattan,Private room,2.0,49.8,26.0,165.0,1
Brooklyn,Private room,1.0,45.1,1.0,0.0,1
Manhattan,Entire home/apt,4.0,65.0,2.0,0.0,1
Bronx,Private room,3.0,,0.0,113.0,1
Manhattan,Entire home/apt,30.0,69.3,0.0,364.0,2
Manhattan,Private room,2.0,52.1,2.0,11.0,1
Brooklyn,Entire home/apt,2.0,67.4,,0.0,2
Manhattan,Entire home/apt,3.0,63.6,16.0,25.0,1
Manhattan,Entire home/apt,3.0,75.6,17.0,5.0,2
Staten Island,Private room,1.0,18.0,21.0,363.0,0
Manhattan,Private room,3.0,57.5,61.0,134.0,2
Manhattan,Private room,2.0,34.2,0.0,0.0,1
Brooklyn,Entire home/apt,1.0,64.8,52.0,359.0,2
Brooklyn,Entire home/apt,1.0,63.8,0.0,0.0,1
Manhattan,Private room,1.0,51.2,0.0,278.0,1
Manhattan,Private room,1.0,,0.0,0.0,1
Queens,Entire home/apt,9.0,66.7,6.0,15.0,2
Manhattan,Entire home/apt,1.0,64.6,321.0,185.0,2
Queens,Private room,28.0,34.0,0.0,330.0,1
Brooklyn,Private room,2.0,47.8,1.0,354.0,1
Brooklyn,Private room,1.0,18.4,1.0,88.0,0
Manhattan,Entire home/apt,3.0,76.7,,0.0,2
Manhattan,Entire home/apt,2.0,62.4,3.0,0.0,2
Brooklyn,Private room,1.0,42.0,2.0,0.0,1
Brooklyn,Entire home/apt,2.0,89.1,,161.0,3
Manhattan,Private room,1.0,73.4,0.0,311.0,2
Brooklyn,Private room,10.0,54.2,1.0,0.0,1
Manhattan,Entire home/apt,3.0,87.1,36.0,36.0,2
Brooklyn,Entire home/apt,30.0,50.8,4.0,,1
Bronx,Private room,2.0,22.4,0.0,177.0,0
Brooklyn,Entire home/apt,2.0,61.9,9.0,90.0,2
Manhattan,Private room,1.0,35.7,1.0,270.0,1
Brooklyn,Private room,5.0,29.0,69.0,104.0,1
Manhattan,Private room,1.0,44.5,38.0,57.0,1
Bronx,Private room,2.0,22.6,14.0,26.0,0
Manhattan,Private room,3.0,29.4,28.0,4.0,1
Brooklyn,Private room,3.0,51.4,22.0,357.0,1
Manhattan,Entire home/apt,1.0,85.9,14.0,5.0,2
Brooklyn,Private room,2.0,16.0,16.0,43.0,0
Brooklyn,Private room,3.0,31.9,0.0,2.0,1
Manhattan,Private room,2.0,56.3,20.0,179.0,1
Bronx,Entire home/apt,2.0,67.7,23.0,155.0,1
Brooklyn,Entire home/apt,7.0,70.6,2.0,0.0,2
Queens,Private room,45.0,26.8,0.0,330.0,0
Manhattan,Private room,2.0,48.6,0.0,363.0,1
Brooklyn,Private room,1.0,15.9,15.0,269.0,0
Brooklyn,Entire home/apt,4.0,89.6,0.0,358.0,3
Brooklyn,Private room,3.0,19.2,20.0,131.0,0
Manhattan,Entire home/apt,3.0,87.6,12.0,301.0,3
Manhattan,Private room,1.0,45.1,7.0,9.0,1
Manhattan,Private room,3.0,57.3,30.0,20.0,1
Staten Island,Private room,1.0,12.3,0.0,0.0,0
Manhattan,Shared room,2.0,50.6,1.0,0.0,1
Brooklyn,Private room,4.0,36.7,16.0,300.0,1
Brooklyn,Entire home/apt,2.0,69.3,0.0,0.0,2
Manhattan,Entire home/apt,1.0,45.9,10.0,0.0,1
Manhattan,Private room,3.0,44.0,15.0,88.0,1
Brooklyn,Entire home/apt,5.0,70.6,53.0,269.0,2
Brooklyn,Private room,1.0,10.4,0.0,0.0,0
Queens,Private room,1.0,22.8,0.0,0.0,0
Brooklyn,Entire home/apt,,34.1,36.0,0.0,1
Brooklyn,Private room,2.0,45.4,11.0,156.0,1
Brooklyn,Private room,2.0,32.7,61.0,0.0,1
Brooklyn,Private room,1.0,27.3,13.0,160.0,0
Manhattan,Entire home/apt,,73.9,18.0,307.0,2
Manhattan,Entire home/apt,3.0,76.5,9.0,0.0,2
Brooklyn,Private room,2.0,31.7,2.0,54.0,1
Brooklyn,Private room,7.0,37.2,11.0,0.0,1
Brooklyn,Private room,30.0,12.8,2.0,,0
Queens,Entire home/apt,3.0,86.3,0.0,89.0,2
Manhattan,Entire home/apt,3.0,65.2,7.0,0.0,1
Manhattan,Private room,2.0,35.0,185.0,203.0,1
Manhattan,Entire home/apt,3.0,60.2,211.0,230.0,1
Brooklyn,Entire home/apt,5.0,50.1,16.0,15.0,1
Brooklyn,Entire home/apt,2.0,57.8,73.0,,1
Manhattan,Entire home/apt,2.0,77.2,19.0,179.0,2
Brooklyn,Entire home/apt,9.0,50.6,10.0,0.0,1
Manhattan,Entire home/apt,5.0,30.5,9.0,0.0,1
Manhattan,Entire home/apt,3.0,65.6,7.0,11.0,1
Brooklyn,Entire home/apt,30.0,52.3,10.0,27.0,1
Brooklyn,Entire home/apt,3.0,79.6,61.0,,2
Queens,Entire home/apt,1.0,52.8,141.0,164.0,1
Manhattan,Private room,1.0,37.4,2.0,39.0,1
Manhattan,Entire home/apt,7.0,81.7,8.0,0.0,2
Brooklyn,Entire home/apt,7.0,65.6,56.0,188.0,1
Brooklyn,Entire home/apt,3.0,75.4,40.0,279.0,2
Brooklyn,Entire home/apt,3.0,62.9,15.0,35.0,1
Manhattan,Private room,1.0,45.3,0.0,0.0,1
Brooklyn,Entire home/apt,4.0,66.9,0.0,156.0,2
Brooklyn,Private room,3.0,48.7,,0.0,1
Manhattan,Entire home/apt,,93.0,0.0,0.0,3
,Private room,1.0,44.4,0.0,274.0,1
Manhattan,Private room,1.0,28.2,0.0,351.0,1
Manhattan,Entire home/apt,4.0,57.3,8.0,0.0,2
Brooklyn,Entire home/apt,7.0,60.3,1.0,0.0,1
Manhattan,Entire home/apt,3.0,65.1,1.0,155.0,2
Brooklyn,Entire home/apt,2.0,48.7,140.0,94.0,1
Brooklyn,Entire home/apt,2.0,57.6,0.0,353.0,1
Manhattan,Entire home/apt,30.0,80.9,3.0,358.0,2
Brooklyn,Private room,3.0,26.3,165.0,272.0,0
Brooklyn,Private room,3.0,15.6,15.0,365.0,0
Manhattan,Private room,10.0,47.2,2.0,0.0,1
Brooklyn,Entire home/apt,1.0,70.5,12.0,175.0,2
Manhattan,Entire home/apt,7.0,52.5,97.0,309.0,1
Brooklyn,Private room,2.0,48.2,2.0,0.0,1
Brooklyn,Private room,2.0,26.2,91.0,78.0,0
Bronx,Entire home/apt,2.0,50.9,2.0,26.0,1
Manhattan,Entire home/apt,4.0,60.1,7.0,0.0,1
Queens,Private room,1.0,43.3,63.0,341.0,1
Brooklyn,Entire home/apt,10.0,30.5,33.0,269.0,1
Manhattan,Entire home/apt,7.0,73.5,0.0,0.0,2
Brooklyn,Shared room,1.0,16.6,26.0,23.0,0
Brooklyn,Private room,3.0,34.6,1.0,,1
Bronx,Private room,2.0,54.3,40.0,246.0,1
Manhattan,Private room,1.0,54.0,10.0,108.0,1
Manhattan,Private room,5.0,65.5,6.0,0.0,1
Manhattan,Entire home/apt,12.0,59.5,4.0,0.0,1
Manhattan,Entire home/apt,3.0,63.3,34.0,0.0,1
Manhattan,Private room,2.0,56.6,85.0,117.0,1
Manhattan,Entire home/apt,1.0,86.5,36.0,201.0,3
Manhattan,Entire home/apt,1.0,56.3,8.0,7.0,1
Brooklyn,Entire home/apt,1.0,59.5,0.0,95.0,2
Brooklyn,Private room,1.0,47.5,2.0,0.0,1
Queens,Private room,21.0,17.0,0.0,73.0,0
Brooklyn,Entire home/apt,5.0,55.6,51.0,91.0,2
,Entire home/apt,2.0,59.8,11.0,0.0,1
Manhattan,Entire home/apt,5.0,78.5,19.0,192.0,3
Brooklyn,Private room,10.0,33.5,3.0,0.0,0
Manhattan,Entire home/apt,29.0,86.9,0.0,354.0,2
Manhattan,Entire home/apt,2.0,52.7,1.0,3.0,1
Queens,Entire home/apt,,38.0,20.0,0.0,1
Manhattan,Entire home/apt,1.0,55.4,42.0,357.0,2
Brooklyn,Entire home/apt,30.0,66.4,0.0,,1
Brooklyn,Entire home/apt,1.0,39.6,2.0,0.0,1
Brooklyn,Private room,4.0,34.2,3.0,0.0,0
Brooklyn,Entire home/apt,3.0,67.2,6.0,292.0,1
Brooklyn,Entire home/apt,1.0,31.3,95.0,7.0,0
Manhattan,Private room,4.0,36.0,1.0,0.0,1
Manhattan,,1.0,38.4,4.0,153.0,1
Brooklyn,Entire home/apt,180.0,51.0,0.0,1.0,1
Brooklyn,Entire home/apt,2.0,62.3,3.0,0.0,2
Brooklyn,Entire home/apt,14.0,48.9,4.0,0.0,1
Brooklyn,Private room,3.0,43.0,0.0,0.0,1
Brooklyn,Private room,1.0,,2.0,0.0,1
Brooklyn,Private room,1.0,27.4,1.0,0.0,0
Manhattan,Private room,1.0,43.4,2.0,0.0,1
Manhattan,Private room,1.0,30.6,4.0,0.0,1
Brooklyn,Entire home/apt,3.0,59.1,1.0,0.0,1
Manhattan,Entire home/apt,4.0,87.8,2.0,0.0,2
Queens,Private room,1.0,31.8,0.0,133.0,1
Manhattan,Entire home/apt,2.0,66.9,1.0,0.0,2
Manhattan,Entire home/apt,1.0,97.3,0.0,32.0,3
Brooklyn,Entire home/apt,5.0,62.0,9.0,78.0,1
Queens,Private room,5.0,46.8,71.0,100.0,1
Manhattan,Private room,1.0,47.0,0.0,0.0,1
Manhattan,Entire home/apt,3.0,82.2,0.0,90.0,3
Manhattan,Private room,1.0,35.9,0.0,0.0,1
Manhattan,Private room,3.0,49.9,0.0,0.0,1
Brooklyn,Private room,6.0,49.9,5.0,358.0,1
Manhattan,Entire home/apt,2.0,84.9,1.0,188.0,2
Queens,Private room,1.0,52.7,1.0,89.0,1
Brooklyn,Private room,1.0,41.8,27.0,365.0,1
Manhattan,Entire home/apt,1.0,66.5,126.0,287.0,2
Manhattan,Entire home/apt,7.0,83.4,6.0,0.0,2
Bronx,Entire home/apt,1.0,59.9,11.0,363.0,1
Manhattan,Entire home/apt,30.0,81.1,2.0,364.0,2
Manhattan,Private room,30.0,49.5,2.0,352.0,1
Manhattan,Private room,3.0,65.5,65.0,25.0,1
Brooklyn,Entire home/apt,1.0,81.8,50.0,329.0,3
Brooklyn,Private room,2.0,38.1,53.0,0.0,1
Queens,Entire home/apt,1.0,30.5,132.0,28.0,1
Manhattan,Entire home/apt,7.0,58.3,19.0,24.0,1
Queens,Private room,1.0,45.8,1.0,180.0,1
Manhattan,Private room,,40.6,37.0,61.0,1
Manhattan,Private room,29.0,23.6,0.0,31.0,0
Manhattan,Private room,1.0,35.7,65.0,338.0,1
Manhattan,Entire home/apt,5.0,93.3,5.0,340.0,3
Brooklyn,Private room,5.0,10.8,1.0,11.0,0
Brooklyn,Private room,1.0,29.0,1.0,0.0,1
Manhattan,Private room,1.0,50.2,67.0,0.0,1
Brooklyn,Entire home/apt,3.0,63.3,4.0,0.0,2
Manhattan,Entire home/apt,30.0,67.9,0.0,301.0,2
Manhattan,Entire home/apt,5.0,77.0,2.0,0.0,2
Manhattan,Private room,1.0,62.7,5.0,148.0,1
Bronx,Private room,2.0,33.8,36.0,5.0,1
Manhattan,Private room,1.0,59.3,28.0,364.0,1
Manhattan,Entire home/apt,5.0,57.0,9.0,0.0,2
Manhattan,Entire home/apt,31.0,56.2,0.0,341.0,2
Brooklyn,Entire home/apt,30.0,77.2,,0.0,2
Brooklyn,Entire home/apt,1.0,,109.0,261.0,1
Brooklyn,Entire home/apt,2.0,59.7,8.0,248.0,1
Queens,Private room,2.0,28.2,19.0,337.0,0
Brooklyn,Entire home/apt,2.0,67.4,19.0,35.0,1
Brooklyn,Private room,,41.9,0.0,0.0,1
Brooklyn,Entire home/apt,7.0,36.7,0.0,0.0,1
Manhattan,Entire home/apt,4.0,73.3,6.0,6.0,2
Manhattan,Entire home/apt,,61.2,0.0,0.0,2
Brooklyn,Entire home/apt,2.0,55.1,2.0,92.0,1
Brooklyn,Private room,4.0,30.1,12.0,0.0,1
Brooklyn,Shared room,2.0,28.7,45.0,325.0,1
Brooklyn,Entire home/apt,3.0,87.1,,4.0,2
Brooklyn,Entire home/apt,2.0,84.2,34.0,180.0,2
Brooklyn,Private room,2.0,27.4,28.0,38.0,0
Brooklyn,Private room,1.0,39.0,35.0,0.0,1
Manhattan,Entire home/apt,4.0,49.0,,0.0,1
Brooklyn,Private room,,13.9,10.0,0.0,0
Brooklyn,Entire home/apt,,34.8,1.0,0.0,1
Brooklyn,Private room,5.0,23.7,0.0,0.0,0
Manhattan,Entire home/apt,5.0,89.3,81.0,303.0,3
Manhattan,Private room,2.0,60.2,44.0,246.0,1
Brooklyn,Private room,1.0,35.6,12.0,89.0,1
Brooklyn,Private room,1.0,53.8,69.0,85.0,1
Manhattan,Entire home/apt,30.0,62.0,5.0,289.0,1
Manhattan,Entire home/apt,3.0,86.1,1.0,340.0,3
Manhattan,Entire home/apt,30.0,44.5,0.0,295.0,1
Brooklyn,Private room,1.0,39.3,0.0,31.0,1
Bronx,Entire home/apt,3.0,70.7,0.0,315.0,2
Brooklyn,Entire home/apt,1.0,53.2,1.0,1.0,1
Brooklyn,,2.0,62.4,91.0,48.0,1
Manhattan,Entire home/apt,1.0,75.3,30.0,165.0,3
Manhattan,Entire home/apt,2.0,77.3,8.0,247.0,3
Brooklyn,Private room,4.0,11.2,4.0,3.0,0
Manhattan,Entire home/apt,6.0,85.6,0.0,0.0,3
Brooklyn,Entire home/apt,5.0,64.7,4.0,0.0,1
Brooklyn,Entire home/apt,,61.2,4.0,0.0,1
Manhattan,Entire home/apt,90.0,84.5,0.0,364.0,3
Manhattan,Entire home/apt,6.0,30.6,3.0,108.0,1
Manhattan,Entire home/apt,2.0,76.3,0.0,247.0,2
Brooklyn,Private room,1.0,21.8,1.0,0.0,0
Manhattan,Entire home/apt,1.0,59.0,5.0,170.0,2
Brooklyn,Private room,20.0,20.8,0.0,0.0,0
Queens,Private room,1.0,38.8,72.0,364.0,1
Brooklyn,Entire home/apt,2.0,59.2,19.0,11.0,1
Brooklyn,Private room,4.0,45.1,8.0,0.0,1
Manhattan,Entire home/apt,7.0,11.1,0.0,273.0,0
Brooklyn,Private room,1.0,38.1,44.0,365.0,1
Manhattan,Entire home/apt,3.0,93.8,0.0,37.0,3
Queens,Private room,2.0,41.6,0.0,176.0,1
Queens,Private room,1.0,64.7,0.0,89.0,1
Queens,Entire home/apt,2.0,70.1,6.0,168.0,2
Queens,Entire home/apt,2.0,32.4,87.0,245.0,1
Manhattan,Entire home/apt,3.0,56.6,16.0,301.0,2
Queens,Shared room,2.0,26.1,28.0,16.0,0
Manhattan,Entire home/apt,2.0,65.6,12.0,340.0,2
Manhattan,Entire home/apt,5.0,93.2,70.0,6.0,3
Manhattan,Private room,7.0,53.4,0.0,0.0,1
Queens,Shared room,2.0,24.4,15.0,330.0,0
Manhattan,Entire home/apt,1.0,73.9,5.0,125.0,2
Brooklyn,Entire home/apt,1.0,59.8,122.0,193.0,1
Queens,Entire home/apt,3.0,75.5,184.0,84.0,2
Manhattan,Entire home/apt,365.0,42.7,27.0,17.0,1
Brooklyn,Entire home/apt,1.0,53.4,0.0,0.0,1
Queens,Private room,1.0,19.7,128.0,278.0,0
Brooklyn,Entire home/apt,2.0,67.1,4.0,106.0,1
Brooklyn,Shared room,9.0,32.6,1.0,0.0,0
Brooklyn,Entire home/apt,2.0,59.5,2.0,103.0,2
Brooklyn,Entire home/apt,2.0,46.6,1.0,0.0,1
Manhattan,Entire home/apt,7.0,57.3,21.0,27.0,2
Brooklyn,Private room,4.0,28.5,1.0,55.0,1
Brooklyn,Private room,1.0,30.5,86.0,117.0,1
Manhattan,Private room,2.0,46.4,4.0,0.0,1
Queens,Private room,4.0,11.8,70.0,173.0,0
Queens,Entire home/apt,1.0,52.3,89.0,148.0,1
Queens,Entire home/apt,2.0,50.8,61.0,32.0,1
Manhattan,Entire home/apt,3.0,65.5,5.0,27.0,2
Queens,Private room,7.0,50.0,2.0,,1
Brooklyn,Entire home/apt,14.0,80.6,0.0,0.0,3
Queens,Private room,3.0,31.2,0.0,365.0,1
Brooklyn,Private room,2.0,46.8,1.0,319.0,1
Queens,Entire home/apt,2.0,59.5,,191.0,1
Queens,Private room,4.0,51.7,23.0,112.0,1
Manhattan,Entire home/apt,30.0,61.9,11.0,40.0,1
Queens,Private room,1.0,49.7,0.0,0.0,1
Brooklyn,Private room,2.0,35.6,9.0,128.0,1
Brooklyn,Private room,1.0,14.4,3.0,0.0,0
Brooklyn,Entire home/apt,1.0,48.3,0.0,0.0,1
Manhattan,Entire home/apt,2.0,49.8,55.0,182.0,1
Manhattan,Private room,,34.8,1.0,0.0,0
Brooklyn,Entire home/apt,1.0,54.5,2.0,0.0,1
Manhattan,Entire home/apt,2.0,73.6,8.0,0.0,2
Brooklyn,Entire home/apt,5.0,62.9,0.0,365.0,1
,Entire home/apt,28.0,37.2,2.0,177.0,1
Manhattan,Private room,1.0,53.1,5.0,5.0,1
Brooklyn,Entire home/apt,4.0,64.7,19.0,0.0,1
Manhattan,Private room,1.0,20.7,103.0,365.0,0
Brooklyn,Private room,3.0,28.8,2.0,0.0,0
Queens,Private room,3.0,48.4,1.0,362.0,1
Brooklyn,Entire home/apt,2.0,47.4,7.0,7.0,1
Manhattan,Entire home/apt,3.0,93.1,46.0,297.0,3
Manhattan,Entire home/apt,1.0,66.6,94.0,187.0,2
Queens,Entire home/apt,1.0,50.3,15.0,326.0,1
Brooklyn,Private room,3.0,36.6,8.0,63.0,1
Manhattan,Entire home/apt,3.0,92.9,14.0,76.0,3
Manhattan,Entire home/apt,3.0,64.0,3.0,13.0,2
Manhattan,Entire home/apt,3.0,55.2,22.0,59.0,2
Brooklyn,Private room,2.0,32.6,263.0,136.0,0
Brooklyn,Private room,30.0,30.5,1.0,216.0,1
Manhattan,Entire home/apt,6.0,52.3,36.0,71.0,1
Queens,Entire home/apt,3.0,94.0,21.0,299.0,3
Manhattan,Private room,30.0,53.7,0.0,317.0,1
Brooklyn,Entire home/apt,5.0,43.5,2.0,0.0,1
Manhattan,Entire home/apt,2.0,69.5,20.0,6.0,2
Manhattan,Entire home/apt,4.0,75.3,11.0,0.0,2
Bronx,Private room,2.0,17.3,54.0,313.0,0
Brooklyn,Private room,4.0,36.9,34.0,68.0,1
Manhattan,Entire home/apt,1.0,80.5,31.0,84.0,2
Manhattan,Private room,2.0,48.3,42.0,109.0,1
Queens,Private room,2.0,,0.0,0.0,1
Brooklyn,Private room,,49.3,2.0,0.0,1
,Private room,1.0,30.5,11.0,0.0,1
Manhattan,Private room,1.0,56.4,11.0,175.0,1
Brooklyn,Entire home/apt,3.0,46.3,34.0,0.0,1
Brooklyn,Private room,1.0,23.7,97.0,,0
Manhattan,Private room,1.0,39.9,68.0,0.0,1
Brooklyn,Private room,2.0,,24.0,95.0,0
Brooklyn,Entire home/apt,4.0,53.1,50.0,107.0,1
Manhattan,Entire home/apt,30.0,31.2,71.0,248.0,1
Queens,Private room,30.0,13.6,0.0,314.0,0
Brooklyn,Entire home/apt,7.0,72.5,1.0,0.0,2
Manhattan,Entire home/apt,14.0,44.7,,0.0,1
Manhattan,Entire home/apt,29.0,57.3,1.0,343.0,2
Manhattan,Private room,5.0,30.3,0.0,0.0,1
Brooklyn,Private room,7.0,27.5,0.0,0.0,0
Brooklyn,Entire home/apt,1.0,,2.0,360.0,1
Queens,Private room,1.0,50.2,123.0,333.0,1
Manhattan,Entire home/apt,2.0,71.2,59.0,266.0,2
Manhattan,Entire home/apt,2.0,56.9,0.0,0.0,2
Manhattan,Entire home/apt,3.0,47.0,2.0,0.0,1
Manhattan,Entire home/apt,3.0,94.7,14.0,0.0,3
Manhattan,Entire home/apt,2.0,63.6,50.0,92.0,2
Manhattan,Private room,7.0,38.0,0.0,125.0,1
Bronx,Private room,2.0,30.3,3.0,0.0,0
Brooklyn,Entire home/apt,1.0,66.8,72.0,140.0,1
Bronx,Private room,1.0,54.6,,268.0,1
Brooklyn,Private room,1.0,48.3,194.0,229.0,1
Brooklyn,Entire home/apt,3.0,53.7,229.0,259.0,1
Brooklyn,Entire home/apt,3.0,46.9,25.0,0.0,1
Brooklyn,Entire home/apt,,62.9,13.0,0.0,1
Brooklyn,Private room,4.0,24.0,0.0,0.0,0
Queens,Entire home/apt,5.0,39.5,4.0,0.0,1
Queens,Shared room,1.0,32.7,1.0,86.0,0
Brooklyn,Entire home/apt,2.0,47.6,20.0,284.0,1
Manhattan,Private room,14.0,41.3,3.0,28.0,1
Brooklyn,Private room,1.0,10.3,2.0,0.0,0
Queens,Private room,2.0,40.7,0.0,357.0,1
Brooklyn,Private room,2.0,11.4,2.0,0.0,0
Manhattan,Entire home/apt,30.0,67.7,0.0,90.0,2
Queens,Private room,2.0,47.7,9.0,0.0,1
Brooklyn,Entire home/apt,3.0,59.9,16.0,0.0,1
Queens,Entire home/apt,2.0,48.1,2.0,0.0,1
Manhattan,Entire home/apt,4.0,58.4,12.0,0.0,1
